"transactionid","timestampsec","customerid","item","description","retail_price"
"113255","2016-12-13 18:05:37","200000663","8619953091","Pillowcase","18.96"
"113254","2016-12-13 18:05:22","200000661","2020397001","Men's Pajama Set","23.1"
"113253","2016-12-13 18:03:57","200000662","4681342313","Sheets","29.9"
"113252","2016-12-13 18:01:45","100000007","6697166886","Coat","159.8"
"113251","2016-12-13 18:01:22","400000180","6697166886","Coat","159.8"
"113250","2016-12-13 17:59:20","200000701","5187373849","Short Slip","12.87"
"113249","2016-12-13 17:59:11","300000467","7010679527","Blanket","63.84"
"113248","2016-12-13 17:58:07","400000706","1893735141","Socks","115.5"
"113247","2016-12-13 17:57:50","100000061","8241463559","Wallet","49.75"
"113246","2016-12-13 17:55:30","400000513","2430071492","Dust Ruffle","41.86"
"113245","2016-12-13 17:51:34","200000459","6988128169","Handbag","25.44"
"113244","2016-12-13 17:48:55","200000482","7270957383","Scarf","29.85"
"113243","2016-12-13 17:48:05","100000081","6228611532","Valance","47.76"
"113242","2016-12-13 17:46:18","200000821","1940915493","Long Gown","68.77"
"113241","2016-12-13 17:45:21","300000015","3305177499","Coveralls (long sleeve)","95.88"
"113240","2016-12-13 17:43:39","100000252","4924918902","T-shirt","62.79"
"113239","2016-12-13 17:42:54","300000822","2363094138","Short Overalls","71.82"
"113238","2016-12-13 17:42:42","300000815","2355020550","Sweater","67.92"
"113237","2016-12-13 17:42:31","100000618","3890778939","Suit & 2 pc Dress","125.16"
"113236","2016-12-13 17:42:25","100000051","5153370805","Shorts","43.96"
"113235","2016-12-13 17:42:11","100000880","1737807900","Tie","68.64"
"113234","2016-12-13 17:40:07","100000898","2695940506","Sweater","59.4"
"113233","2016-12-13 17:40:00","400000359","9873264896","Hat","10.89"
"113232","2016-12-13 17:39:47","100000559","7270957383","Scarf","29.85"
"113231","2016-12-13 17:38:30","100000878","8068199275","Slacks","87.78"
"113230","2016-12-13 17:36:34","100000013","2588421965","Commode Cover","15.84"
"113229","2016-12-13 17:35:12","100000569","9730446421","Blazer","103.3"
"113228","2016-12-13 17:34:14","300000852","4327321762","Dress","69.75"
"113227","2016-12-13 17:33:45","100000158","3126356136","Formal Dress","99.9"
"113226","2016-12-13 17:33:24","300000023","2178891798","Hand Towel","18.17"
"113225","2016-12-13 17:33:09","100000923","3795753080","Jeans","38.1"
"113224","2016-12-13 17:29:27","100000251","2210750188","Blazer","119.76"
"113223","2016-12-13 17:28:01","400000557","5509524170","Couch Cover","86.68"
"113222","2016-12-13 17:27:42","300000614","2524845521","Gown & Robe Set","105.6"
"113221","2016-12-13 17:26:26","100000477","6228611532","Valance","47.76"
"113220","2016-12-13 17:26:03","200000537","4924918902","T-shirt","62.79"
"113219","2016-12-13 17:25:38","100000567","5050067655","Bottoms","66.96"
"113218","2016-12-13 17:24:57","200000256","3123824581","Sweatpants","43.89"
"113217","2016-12-13 17:22:56","400000368","7841340144","Shirt","29.4"
"113216","2016-12-13 17:20:59","100000521","9538578209","Dress","87.36"
"113215","2016-12-13 17:20:34","200000493","9730446421","Blazer","103.3"
"113214","2016-12-13 17:20:00","100000173","5310615417","Tie","41.79"
"113213","2016-12-13 17:19:55","100000824","6991736764","Pillow Sham","19.8"
"113212","2016-12-13 17:18:45","100000344","6182400847","Blazer","26.88"
"113211","2016-12-13 17:17:26","100000760","8675740287","Baby Quilt","47.76"
"113210","2016-12-13 17:17:24","100000542","6661671897","Swimwear","50.83"
"113209","2016-12-13 17:12:58","300000730","2430071492","Dust Ruffle","41.86"
"113208","2016-12-13 17:11:42","100000121","2363094138","Short Overalls","71.82"
"113207","2016-12-13 17:10:42","100000051","7833392032","Skirt","55.86"
"113206","2016-12-13 17:10:19","200000582","3256419181","Short Slip","102"
"113205","2016-12-13 17:09:16","400000396","1160651321","Coat","93.9"
"113204","2016-12-13 17:08:25","300000238","2355020550","Sweater","67.92"
